x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10]
,2008-06-17,0.045761062,0.052973207,0.031336771,0.042154989,0.067397497,0.096246078,0.117882514,0.150337168,0.179185749,0.204428257,None
,2008-06-18,0.045761062,0.049367134,0.031336771,0.042154989,0.067397497,0.096246078,0.117882514,0.150337168,0.179185749,0.204428257,None
,2008-06-19,0.045761062,0.049367134,0.031336771,0.042154989,0.067397497,0.096246078,0.117882514,0.150337168,0.179185749,0.204428257,None
,2008-06-20,0.045761062,0.049367134,0.031336771,0.042154989,0.067397497,0.096246078,0.117882514,0.150337168,0.179185749,0.204428257,None
,2008-06-23,0.045761062,0.049367134,0.031336771,0.042154989,0.067397497,0.096246078,0.117882514,0.150337168,0.179185749,0.204428257,None
,2008-06-24,0.045761062,0.049367134,0.031336771,0.042154989,0.067397497,0.096246078,0.117882514,0.150337168,0.179185749,0.204428257,None
,2008-06-25,0.045761062,0.042154989,0.024124626,0.034942844,0.060185352,0.089033933,0.110670369,0.143125023,0.171973604,0.197216112,None
,2008-06-26,0.045761062,0.042154989,0.024124626,0.034942844,0.060185352,0.089033933,0.110670369,0.143125023,0.171973604,0.197216112,None
,2008-06-27,0.045761062,0.038548916,0.024124626,0.034942844,0.060185352,0.089033933,0.110670369,0.143125023,0.171973604,0.197216112,None
,2008-06-30,0.045761062,0.038548916,0.024124626,0.034942844,0.060185352,0.089033933,0.110670369,0.143125023,0.171973604,0.197216112,None
,2008-07-01,0.045761062,0.038548916,0.024124626,0.034942844,0.060185352,0.089033933,0.110670369,0.143125023,0.171973604,0.197216112,None
,2008-07-02,0.045761062,0.038548916,0.024124626,0.034942844,0.060185352,0.089033933,0.110670369,0.143125023,0.171973604,0.197216112,None
,2008-07-03,0.045761062,0.038548916,0.024124626,0.034942844,0.060185352,0.089033933,0.110670369,0.143125023,0.171973604,0.197216112,None
,2008-07-04,0.045761062,0.038548916,0.024124626,0.034942844,0.060185352,0.089033933,0.110670369,0.143125023,0.171973604,0.197216112,None
,2008-07-07,0.045761062,0.038548916,0.024124626,0.034942844,0.060185352,0.089033933,0.110670369,0.143125023,0.171973604,0.197216112,None
,2008-07-08,0.045761062,0.038548916,0.020518553,0.031336771,0.05657928,0.085427861,0.107064296,0.13951895,0.168367531,0.193610039,None
,2008-07-09,0.042154989,0.027730698,0.020518553,0.031336771,0.05657928,0.085427861,0.107064296,0.13951895,0.168367531,0.193610039,None
,2008-07-10,0.042154989,0.027730698,0.020518553,0.031336771,0.05657928,0.085427861,0.107064296,0.13951895,0.168367531,0.193610039,None
,2008-07-11,0.042154989,0.027730698,0.020518553,0.031336771,0.05657928,0.085427861,0.107064296,0.13951895,0.168367531,0.193610039,None
,2008-07-14,0.042154989,0.027730698,0.024124626,0.027730698,0.034942844,0.052973207,0.07100357,0.092640006,0.128700732,0.164761458,None
,2008-07-15,0.045761062,0.031336771,0.00248819,0.016912481,0.034942844,0.049367134,0.067397497,0.089033933,0.128700732,0.164761458,None
,2008-07-16,0.045761062,0.031336771,0.00248819,0.016912481,0.034942844,0.049367134,0.067397497,0.089033933,0.128700732,0.164761458,None
,2008-07-17,0.042154989,0.009700335,0.00248819,0.016912481,0.034942844,0.049367134,0.067397497,0.089033933,0.128700732,0.164761458,None
,2008-07-18,0.042154989,0.009700335,0.00248819,0.016912481,0.034942844,0.049367134,0.067397497,0.089033933,0.128700732,0.164761458,None
,2008-07-21,0.042154989,0.009700335,0.00248819,0.016912481,0.034942844,0.049367134,0.067397497,0.089033933,0.128700732,0.164761458,None
,2008-07-22,0.042154989,0.009700335,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-07-23,0.042154989,0.009700335,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-07-24,0.042154989,0.009700335,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-07-25,0.042154989,0.009700335,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-07-28,0.042154989,0.009700335,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-07-29,0.042154989,0.009700335,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-07-30,0.042154989,0.009700335,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-07-31,0.042154989,0.009700335,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-08-01,0.042154989,0.009700335,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-08-04,0.042154989,0.009700335,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-08-05,0.042154989,0.009700335,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-08-06,0.042154989,0.009700335,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-08-07,0.042154989,0.009700335,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-08-08,0.042154989,0.009700335,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-08-11,0.042154989,0.009700335,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-08-12,0.042154989,0.006094263,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-08-13,0.042154989,0.006094263,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-08-14,0.042154989,0.006094263,-0.001117883,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-08-15,0.042154989,0.006094263,-0.004723955,0.009700335,0.027730698,0.042154989,0.063791425,0.081821788,0.121488587,0.157549313,None
,2008-08-18,0.042154989,0.006094263,-0.004723955,0.013306408,0.027730698,0.042154989,0.063791425,0.085427861,0.128700732,0.161155386,None
,2008-08-19,0.042154989,0.006094263,-0.004723955,0.013306408,0.027730698,0.042154989,0.063791425,0.085427861,0.128700732,0.161155386,None
,2008-08-20,0.042154989,0.006094263,-0.004723955,0.013306408,0.027730698,0.042154989,0.063791425,0.085427861,0.128700732,0.161155386,None
,2008-08-21,0.042154989,0.006094263,-0.008330028,0.009700335,0.027730698,0.042154989,0.063791425,0.085427861,0.128700732,0.161155386,None
,2008-08-22,0.042154989,0.006094263,-0.008330028,0.009700335,0.027730698,0.042154989,0.063791425,0.085427861,0.128700732,0.161155386,None
,2008-08-25,0.042154989,0.006094263,-0.008330028,0.009700335,0.027730698,0.042154989,0.063791425,0.085427861,0.128700732,0.161155386,None
,2008-08-26,0.042154989,0.009700335,-0.008330028,0.009700335,0.027730698,0.042154989,0.063791425,0.085427861,0.128700732,0.161155386,None
,2008-08-27,0.042154989,0.013306408,-0.0119361,0.006094263,0.024124626,0.042154989,0.063791425,0.085427861,0.128700732,0.161155386,None
,2008-08-28,0.042154989,0.013306408,-0.0119361,0.006094263,0.024124626,0.042154989,0.063791425,0.085427861,0.128700732,0.161155386,None
,2008-08-29,0.042154989,0.013306408,-0.0119361,0.006094263,0.024124626,0.042154989,0.063791425,0.085427861,0.128700732,0.161155386,None
,2008-09-01,0.042154989,0.013306408,-0.0119361,0.006094263,0.024124626,0.042154989,0.063791425,0.085427861,0.128700732,0.161155386,None
,2008-09-02,0.042154989,0.013306408,-0.0119361,0.006094263,0.024124626,0.042154989,0.063791425,0.085427861,0.128700732,0.161155386,None
,2008-09-03,0.042154989,0.013306408,-0.0119361,0.009700335,0.034942844,0.052973207,0.078215715,0.103458224,0.128700732,0.161155386,None
,2008-09-04,0.042154989,0.013306408,-0.0119361,0.009700335,0.034942844,0.052973207,0.085427861,0.107064296,0.128700732,0.161155386,None
,2008-09-05,0.042154989,0.013306408,-0.0119361,0.009700335,0.034942844,0.052973207,0.085427861,0.107064296,0.128700732,0.161155386,None
,2008-09-08,0.042154989,0.013306408,-0.0119361,0.009700335,0.034942844,0.052973207,0.085427861,0.107064296,0.128700732,0.161155386,None
,2008-09-09,0.042154989,0.013306408,-0.0119361,0.009700335,0.034942844,0.052973207,0.085427861,0.107064296,0.128700732,0.161155386,None
,2008-09-10,0.042154989,0.013306408,-0.0119361,0.009700335,0.034942844,0.052973207,0.085427861,0.107064296,0.128700732,0.161155386,None
,2008-09-11,0.042154989,0.013306408,-0.0119361,0.009700335,0.034942844,0.052973207,0.085427861,0.107064296,0.128700732,0.161155386,None
,2008-09-12,0.042154989,0.013306408,-0.0119361,0.009700335,0.034942844,0.052973207,0.085427861,0.107064296,0.128700732,0.161155386,None
,2008-09-15,0.042154989,0.013306408,-0.019148246,0.00248819,0.024124626,0.042154989,0.078215715,0.096246078,0.117882514,0.15394324,None
,2008-09-16,0.042154989,0.013306408,-0.019148246,0.00248819,0.024124626,0.042154989,0.078215715,0.096246078,0.117882514,0.15394324,None
,2008-09-17,0.042154989,0.013306408,-0.019148246,0.00248819,0.024124626,0.042154989,0.078215715,0.096246078,0.117882514,0.15394324,None
,2008-09-18,0.042154989,0.013306408,-0.019148246,0.00248819,0.024124626,0.042154989,0.078215715,0.096246078,0.117882514,0.15394324,None
,2008-09-19,0.042154989,0.013306408,-0.019148246,0.00248819,0.024124626,0.042154989,0.078215715,0.096246078,0.117882514,0.15394324,None
